name,lng,lat
辽宁.铁西站,123.3586298,41.80572417
辽宁.田庄台站,122.1240026,40.82842218
辽宁.太子河站,123.1783743,41.27459314
辽宁.万宝站,123.339652,41.419779
辽宁.文成站,123.354944,41.641473
东北.瓦房店站,121.7906988,39.7089564
辽宁.文华站,121.810383,39.031527
辽宁.望海站,121.947872,39.244814
辽宁.五环站,121.819435,39.057152
辽宁.魏家屯站,123.6617381,43.2885449
辽宁.卧龙站,123.869137,41.338677
东北.王石站,122.829808,40.867835
辽宁.吴屯站,121.9726908,39.82041062
辽宁.歪头山站,121.716166,39.522963
辽宁.王铁站,122.788113,41.053601
辽宁.兴安村站,123.708663,41.271536
辽宁.兴城站,120.4755273,40.59628424
辽宁.新城子站,123.5301794,42.05693068
辽宁.西丰站,124.7385022,42.71273943
东北.徐家站,124.082957,43.286363
辽宁.新金站,122.735194,41.896167
辽宁.薛家站,122.633442,42.643947
辽宁.新开站,121.623506,38.925127
辽宁.兴隆台站,121.9696291,41.15583089
辽宁.襄平站,123.190321,41.278866
辽宁.小市站,124.126811,41.311607
辽宁.新兴站,123.709424,41.323093
辽宁.岫岩站,123.346069,40.403181
辽宁.熊岳站,122.1295769,40.17451647
辽宁.向阳站,122.430475,39.692033
辽宁.闫店站,121.839085,39.845002
辽宁.于洪站,123.242847,41.84355102
辽宁.营口站,122.2333914,40.66865107
辽宁.营口厂,122.2333914,40.66865107
辽宁.英落站,122.71359,40.650711
辽宁.元龙站,121.587307,38.887057
辽宁.业民站,123.952175,42.51585
东北.燕南站,120.766683,41.802193
辽宁.营口热厂,122.2333914,40.66865107
东北.雁水站,121.618075,38.892702
辽宁.迎水寺站,124.0668045,41.32094801
辽宁.燕山湖厂,120.33636,41.518421
辽宁.樱桃园站,120.376567,41.60703
辽宁.义县站,121.3018774,41.53492812
辽宁.杨杖子站,120.062817,41.482162
辽宁.彰北风电场,122.502418,42.141551
辽宁.联合风电场,123.496911,41.867944
辽宁.张官站,123.5255778,41.75413839
辽宁.庄河站,122.9341453,39.85890978
辽宁.中华路站,121.620731,39.001811
辽宁.庄河火厂,122.9341453,39.85890978
辽宁.扎兰山风电场,121.850304,42.023079
辽宁.彰武站,122.4741732,42.52375444
辽宁.中心站,123.412579,41.774064
辽宁.振兴路站,123.340639,42.825205
辽宁.中寨站,124.438809,42.202451
辽宁.新立站,124.734544,42.97629149
辽宁.赫地站,123.803384,41.355603
辽宁.暖东站,123.346866,41.880092
辽宁.马山站,120.327758,41.623813
辽宁.阿金站,124.06576,41.864507
辽宁.仙人岛站,122.000169,40.191425
东北.南海站,121.920078,39.035721
辽宁.顺化站,120.84304,40.761859
东北.抚顺站,123.925854,41.894989
辽宁.峨嵋站,123.335593,41.787377
辽宁.煤制气站,121.84617,42.055776
辽宁.康平朝阳堡风电场,123.064608,42.693946
辽宁.何家站,122.038585,41.607681
辽宁.恒力站,121.275424,39.563013
辽宁.协合万家风电场,120.461474,41.566709
辽宁.宝石山站,122.81183,41.018089
辽宁.辽河站,122.6737794,41.56465791
辽宁.马风站,122.9199417,40.8153924
辽宁.锦州迎东风电场,121.1477487,41.13087888
辽宁.锦州千军风电场,121.1477487,41.13087888
辽宁.发达站,121.144963,41.128506
东北.辽中站,122.7985755,41.50033037
辽宁.北海站,123.476674,41.836702
辽宁.铁岭大兴风电场,123.8548496,42.29975701
辽宁.兰新站,121.606819,38.994205
辽宁.友爱站,123.021313,41.147526
辽宁.双利站,123.388788,41.784441
辽宁.盘锦厂,122.0732278,41.14124802
辽宁.南环站,122.839012,41.994083
辽宁.后尖山风电场,122.93526,41.732935
辽宁.朝阳存珠风电场,120.93102,42.039116
辽宁.爱国站,123.006746,41.093093
辽宁.天润留龙沟风电场,121.062715,41.410679
辽宁.绣江站,123.054918,41.288642
东北.张台站,123.28282,41.357814
辽宁.辉山站,123.5954776,41.92645209
辽宁.徐大堡站,120.584374,40.426032
辽宁.锦州黑山龙湾风电场,122.130706,41.870719
辽宁.瓷都站,123.37816,42.477301
辽宁.安岭站,123.204189,41.798343
辽宁.石桥子站,123.733182,41.458649
辽宁.宫屯站,121.9919328,39.54688785
辽宁.新地站,123.490902,41.727529
辽宁.保国站,120.923986,42.093789
辽宁.铝业站,123.537751,41.935845
辽宁.和平站,123.609533,42.644212
辽宁.华润阜新驿马池风电场,121.6608221,42.01925011
辽宁.双西站,121.904836,39.714592
辽宁.范屯站,121.5033384,39.47708827
辽宁.黄家堡站,122.88848,40.615376
辽宁.东昌站,122.359439,40.753796
辽宁.高官站,123.541992,41.825096
辽宁.昌图太平风电场,123.9464091,43.00046212
辽宁.九连城站,124.4755189,40.20901754
东北.白清寨站,123.6939711,41.58205114
辽宁.丁家站,122.477726,41.10751
辽宁.桥北站,121.72747,39.161351
辽宁.黄岗站,123.406947,40.995295
辽宁.花园口站,122.695496,39.536014
辽宁.永陵站,124.827004,41.713034
辽宁.东兴站,124.744544,41.479735
东北.利州站,119.750524,41.131202
辽宁.荣兴站,122.10627,40.789061
辽宁.金木站,122.011365,39.64542
辽宁.国成厂,121.976776,39.399424
辽宁.双山站,122.992604,40.387807
辽宁.三江口风电场,123.729674,43.374109
东北.唐家站,124.218976,42.942669
辽宁.沈化站,123.138236,41.737774
东北.鹤乡站,122.0821072,41.11369947
辽宁.龙旗站,122.435753,40.857324
辽宁.阜新太平沟风电场,121.7515005,41.94687609
辽宁.仙人岛热厂,122.000169,40.191425
辽宁.鱼台站,120.795246,40.618056
辽宁.梁殿站,122.277675,41.891121
辽宁.抚矿厂,123.90405,41.88110999
东北.历林站,122.555202,40.636351
辽宁.高花站,123.092421,41.694846
辽宁.胡台站,123.14156,41.802174
辽宁.付庄站,123.041204,41.240096
辽宁.朝阳热厂,120.488982,41.609868
辽宁.塘坊风电场,121.290021,41.533877
辽宁.榆州站,119.421949,41.269309
辽宁.边北站,123.459953,41.822241
辽宁.本溪热厂,123.7780624,41.32583763
辽宁.青云站,121.6142708,38.92321445
辽宁.铝兴站,123.524947,42.052628
辽宁.东港新农光伏电站,123.474448,39.96175
辽宁.康平三台子光伏电站,123.2735981,42.76554074
辽宁.永记光伏电站,123.387906,39.902403
吉林.三岔子,126.608466,42.091801
吉林.吉林热电厂,126.564544,43.87198833
